mint,fired_conditional,origin_program,origin_name,venue_program,venue_name,venue_kind,pool_venue_program,curated_dex_has_rows,signers_holdout,tx_holdout,moves_before_holdout
89DDcciQeTrYaaNQtuHa2gMeWtZD6H4W4ncgZbyVpump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,CURVE,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,false,11,20,0
7D3eLDNU8DFQhegq486X1bjdiAuzWfnoavHN8CgnUCFL,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,DF1ow4tspfHX9JwWJsAb9epbkA8hmpSEAtxXy1V27QBH,,UNKNOWN,DF1ow4tspfHX9JwWJsAb9epbkA8hmpSEAtxXy1V27QBH,false,58,130,0
7cjcabiWhcjb93Mh4ZD3jRXbTxBF7QQNWt92LB32Y3VE,true,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,spl token,whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc,orca whirlpool,AMM,whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc,false,17,66,0
Dof9R5n3qSczowbSK1DifgqLt97DdHKWopY7amNqpump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9,,UNKNOWN,FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9,false,2,4,0
G1T3UDa622Sg3NJDoeauqNjAKcV5a58qxuv75qgmpump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,token-2022,TOKEN,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,false,17,224,0
GHuv228tZhShN8v2PJBLW4rAf7u3ga5cqh5dgwabpump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,CURVE,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,false,4,8,0
AwmZfYNbEye5DhvchroY9ZjYuKVV7zfPAri7D3y5pump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9,,UNKNOWN,FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9,false,2,4,0
AxQ48BM1SiScziGBxsJbdnwZXSheBchwaG8TJHmypump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,CURVE,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,false,1,2,0
3PrK2ci8WS3nuzdQPjqvBd7QCzEZL5pLGiEeirj2pump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,CURVE,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,false,6,12,0
CZQhsBDFJDdvJpdRjjnR1fAtbo1WESrCfw6mThGypump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,CURVE,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,false,6,12,0
