trigger,venue_program,venue_name,kind,n,n_mints,n_days,as_reported_n,as_reported_mean,as_reported_lower,as_reported_upper,carry_forward_n,carry_forward_mean,carry_forward_lower,carry_forward_upper,residual_at_zero_mean,residual_lower,residual_upper,censored_fraction,cost_floor,cost_floor_pct,cost_floor_note,median_trades_per_mint,median_traders_per_mint,same_trade_fraction
T0,MAyhSmzXzV1pTf7LsNkrNwkWKTo4ougAJ1PPg47MD4e,,UNKNOWN,210,210,3,55,-0.3537506103842973,-0.6645782280617043,-0.3226678486165565,64,-0.4051097005932027,-0.6107849733817533,-0.37572751876626675,-0.8307442074816016,-1,-0.8064765281761592,0.7380952380952381,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,66.5,9.5,0.319047619047619
T0,term9YPb9mzAsABaqN71A4xdbxHmpBNZavpBiQKZzN3,,UNKNOWN,142,142,2,14,-0.012976232732512123,-0.025101036337383344,-0.00624023072980589,16,-0.011584647234119907,-0.02131649543483166,-0.005745538313692855,-0.9026877975933463,-0.9048527880485985,-0.8984480246184775,0.9014084507042254,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,0,6,0.8028169014084507
T0,TroYL71c8P2XNtDxHs98VtVLuiASJ7Ao5FvUoKyp3Bk,,UNKNOWN,5,5,2,1,-0.002405004420292345,-0.002405004420292345,-0.002405004420292345,1,-0.002405004420292345,-0.002405004420292345,-0.002405004420292345,-0.8004810008840584,-1,-0.667468334806764,0.8,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,1,4,0.4
T0,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,jupiter aggregator v6,ROUTER,223,223,2,33,0.0350489093539729,0.014768322286620394,0.03635733432606017,38,0.037524085023702324,0.011927886566045117,0.03971804489150151,-0.8468313273153314,-0.9585808848046278,-0.8153616243442076,0.852017937219731,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,0,10,0.5695067264573991
T0,DF1ow4tspfHX9JwWJsAb9epbkA8hmpSEAtxXy1V27QBH,,UNKNOWN,204,204,3,24,0.020329541665807874,-0.022232768802029755,0.31826571494067135,27,0.019365605009055892,-0.019901403491582027,0.24515090388772398,-0.879961230392258,-1,-0.8574089454502958,0.8823529411764706,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,1,15.5,0.4950980392156863
T0,MoBUSvJRk2cEJaWMrEqLapadgrNW8hKEDKCdogsjbV7,,UNKNOWN,1,1,1,1,-0.00338983136172033,-0.00338983136172033,-0.00338983136172033,1,-0.00338983136172033,-0.00338983136172033,-0.00338983136172033,-0.00338983136172033,-0.00338983136172033,-0.00338983136172033,0,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,2,9,0
T0,GMgnVFR8Jb39LoXsEVzb3DvBy3ywCmdmJquHUy1Lrkqb,,UNKNOWN,224,224,2,28,-0.05478686744755359,-0.13122484769692266,-0.03816991521942988,43,-0.054785972062158544,-0.09441597433268001,-0.047080138287334955,-0.8818483584309442,-0.9131224847696922,-0.8728615405175107,0.875,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,0,5,0.7276785714285714
T0,BpJLs7trt5uFkgAjsvabqPNFUeJQzWANsW3TcqpBvTPz,,UNKNOWN,16,16,2,2,-0.001081826031017974,-0.001081826031017974,-0.001081826031017974,3,-0.0015191476613697352,-0.002393790922073258,-0.001081826031017974,-0.8751352282538772,-1,-0.8183785138238214,0.875,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,0,4.5,1
T0,haqqqMGN35ehCftXca3KWxJFXTBcWTWeNHNtUHLGQdh,,UNKNOWN,31,31,2,4,0.001467493136650705,0.001467493136650705,0.001467493136650705,7,-0.0043027264075479665,-0.035989057399438584,0.0009783287577671367,-0.8707783879823677,-1,-0.8516344454612368,0.8709677419354839,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,0,29,0.9354838709677419
T0,Eo7WjKq67rjJQSZxS6z3YkapzY3eMj6Xy8X5EQVn5UaB,meteora amm,AMM,9,9,2,0,,0,0,0,,0,0,-1,-1,-1,1,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,121,8,0
T0,TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb,token-2022,TOKEN,17,17,2,4,0.001177209019444625,0.001177209019444625,0.001177209019444625,4,0.001177209019444625,0.001177209019444625,0.001177209019444625,-0.7644288919954247,-1,-0.6919454741478632,0.7647058823529411,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,6,18,0.23529411764705882
T0,Hrg1JDwubuxA5Eoi8V4oMAWRZb4azXr4gBmzHxMgL7FB,,UNKNOWN,6,6,2,1,-0.06449262467196837,-0.06449262467196837,-0.06449262467196837,1,-0.06449262467196837,-0.06449262467196837,-0.06449262467196837,-0.8440821041119948,-1,-0.8128985249343937,0.8333333333333334,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,0,35.5,0.8333333333333334
T0,TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,spl token,TOKEN,17,17,2,7,0.00449299942827278,0.00449299942827278,0.00449299942827278,7,0.00449299942827278,0.00449299942827278,0.00449299942827278,-0.5863852355295347,-1,-0.4977535002858636,0.5882352941176471,UNKNOWN,,UNKNOWN — this venue fee schedule has not been decoded,4,15,0.23529411764705882
